scene;is_cutscene;setup;room;idx;params;description;pos_x;pos_y;pos_z;rot_x;rot_y;rot_z
0;False;0;0;0;0095:0000;Skullwalltula and Gold Skulltulas, Skullwalltula, Location: None, Skulltula Flag: 0000,;283;478;357;0;41870;0
0;False;0;0;1;0095:0000;Skullwalltula and Gold Skulltulas, Skullwalltula, Location: None, Skulltula Flag: 0000,;416;520;179;0;45875;0
0;False;0;0;2;0095:0000;Skullwalltula and Gold Skulltulas, Skullwalltula, Location: None, Skulltula Flag: 0000,;327;678;321;0;42234;0
0;False;0;0;3;0037:0001;Skulltula, Big,;-67;1069;255;0;62805;0
0;False;0;0;4;0037:0001;Skulltula, Big,;256;1071;-62;0;19115;0
0;False;0;0;5;0037:0001;Skulltula, Big,;-179;1072;-190;0;40960;0
0;False;0;0;6;0125:FF01;Single Bush/Grass, Cut-able, regenerating grass, Spawns set of 3 bugs: False, Random Drop Table: No Table,;391;0;-156;0;56798;0
0;False;0;0;7;0125:FF01;Single Bush/Grass, Cut-able, regenerating grass, Spawns set of 3 bugs: False, Random Drop Table: No Table,;355;0;-233;0;56798;0
0;False;0;0;8;0125:FF01;Single Bush/Grass, Cut-able, regenerating grass, Spawns set of 3 bugs: False, Random Drop Table: No Table,;307;0;-289;0;56798;0
0;False;0;0;9;0125:FF01;Single Bush/Grass, Cut-able, regenerating grass, Spawns set of 3 bugs: False, Random Drop Table: No Table,;80;293;-414;0;0;0
0;False;0;0;10;0125:FF01;Single Bush/Grass, Cut-able, regenerating grass, Spawns set of 3 bugs: False, Random Drop Table: No Table,;142;307;-399;0;0;0
0;False;0;0;11;0055:0000;Deku Baba (Snapping), Small,;-218;0;63;0;53157;0
0;False;0;0;12;0055:0000;Deku Baba (Snapping), Small,;-41;0;-230;0;32768;0
0;False;0;0;13;0055:0000;Deku Baba (Snapping), Small,;194;0;105;0;12379;0
0;False;0;0;14;000A:0823;Treasure chest, Large, Contents: Map, Chest Flag: 0003, Switch Flag to spawn chest: 00,;333;360;253;0;8374;0
0;False;0;0;15;000F:0FC5;Webs, Switch Flag: 05, Switch Flag: 3F, Web Type: Web-Covered Hole,;0;0;0;0;16384;0
0;False;0;0;16;011B:0A03;Navi Message, Talk when in range, Switch Flag: 0A, Message ID (+0100): 0103,;-417;400;427;0;0;0
0;False;0;0;17;011B:0A03;Navi Message, Talk when in range, Switch Flag: 0A, Message ID (+0100): 0103,;-513;800;10;0;0;0
0;False;0;0;18;011B:9301;Navi Message, C-Up Prompt, Switch Flag: 13, Message ID (+0100): 0101,;0;-24;0;40;6;0
0;False;0;0;19;011B:1F02;Navi Message, Talk when in range, Switch Flag: 1F, Message ID (+0100): 0102,;118;0;-325;20;0;0
0;False;0;0;20;011B:1F02;Navi Message, Talk when in range, Switch Flag: 1F, Message ID (+0100): 0102,;-1394;280;1188;0;0;0
0;False;0;0;21;011B:1F02;Navi Message, Talk when in range, Switch Flag: 1F, Message ID (+0100): 0102,;-1186;355;1398;0;0;0
0;False;0;0;22;011B:1F02;Navi Message, Talk when in range, Switch Flag: 1F, Message ID (+0100): 0102,;-1176;480;1485;0;0;0
0;False;0;0;23;011B:1F02;Navi Message, Talk when in range, Switch Flag: 1F, Message ID (+0100): 0102,;465;360;114;28;0;0
0;False;0;0;24;011B:1F02;Navi Message, Talk when in range, Switch Flag: 1F, Message ID (+0100): 0102,;282;360;360;20;0;0
